CityName,YY,MM,TempValue
臺中市,2015,1,16.5187
臺中市,2015,2,17.2843
臺中市,2015,3,19.8901
臺中市,2015,4,23.7697
臺中市,2015,5,27.2728
臺中市,2015,6,30.4548
臺中市,2015,7,30.0576
臺中市,2015,8,29.2573
臺中市,2015,9,28.4548
臺中市,2015,10,26.5747
臺中市,2015,11,24.5945
臺中市,2015,12,19.6784
臺中市,2016,1,16.8005
臺中市,2016,2,16.126
臺中市,2016,3,18.2025
臺中市,2016,4,24.642
臺中市,2016,5,27.366
臺中市,2016,6,29.2506
臺中市,2016,7,29.8889
臺中市,2016,8,29.4513
臺中市,2016,9,27.8403
臺中市,2016,10,27.227
臺中市,2016,11,23.0627
臺中市,2016,12,19.8658
臺中市,2017,1,18.0917
臺中市,2017,2,16.8372
臺中市,2017,3,19.3126
臺中市,2017,4,23.1277
臺中市,2017,5,26.3523
臺中市,2017,6,28.242
臺中市,2017,7,29.5418
臺中市,2017,8,29.7511
臺中市,2017,9,29.303
臺中市,2017,10,26.1293
臺中市,2017,11,22.5089
臺中市,2017,12,17.9759
