CityName,YY,MM,TempValue
桃園市,2015,1,15.7862
桃園市,2015,2,16.0263
桃園市,2015,3,17.9707
桃園市,2015,4,21.8828
桃園市,2015,5,25.3246
桃園市,2015,6,29.0947
桃園市,2015,7,29.3011
桃園市,2015,8,28.1004
桃園市,2015,9,26.7755
桃園市,2015,10,24.7908
桃園市,2015,11,22.8799
桃園市,2015,12,18.3012
桃園市,2016,1,15.5876
桃園市,2016,2,14.3736
桃園市,2016,3,16.3894
桃園市,2016,4,22.8948
桃園市,2016,5,26.327
桃園市,2016,6,28.8362
桃園市,2016,7,29.8546
桃園市,2016,8,29.1326
桃園市,2016,9,27.5143
桃園市,2016,10,26.3883
桃園市,2016,11,21.9745
桃園市,2016,12,19.2434
桃園市,2017,1,17.5278
桃園市,2017,2,16.005
桃園市,2017,3,17.547
桃園市,2017,4,22.0517
桃園市,2017,5,25.4578
桃園市,2017,6,27.669
桃園市,2017,7,29.6064
桃園市,2017,8,30.0029
桃園市,2017,9,28.7628
桃園市,2017,10,25.3156
桃園市,2017,11,21.5722
桃園市,2017,12,17.3018
