CityName,YY,MM,TempValue
新竹縣,2015,1,15.4763
新竹縣,2015,2,15.7996
新竹縣,2015,3,18.1834
新竹縣,2015,4,22.1625
新竹縣,2015,5,25.7391
新竹縣,2015,6,29.4015
新竹縣,2015,7,29.2094
新竹縣,2015,8,28.1207
新竹縣,2015,9,26.8348
新竹縣,2015,10,25.0157
新竹縣,2015,11,22.9245
新竹縣,2015,12,18.233
新竹縣,2016,1,15.4964
新竹縣,2016,2,14.3009
新竹縣,2016,3,16.2603
新竹縣,2016,4,23.1104
新竹縣,2016,5,26.3374
新竹縣,2016,6,29.059
新竹縣,2016,7,29.8116
新竹縣,2016,8,28.635
新竹縣,2016,9,27.4566
新竹縣,2016,10,26.4225
新竹縣,2016,11,22.0921
新竹縣,2016,12,19.0792
新竹縣,2017,1,17.5492
新竹縣,2017,2,15.8228
新竹縣,2017,3,17.4449
新竹縣,2017,4,21.7684
新竹縣,2017,5,25.2631
新竹縣,2017,6,27.7228
新竹縣,2017,7,28.8518
新竹縣,2017,8,29.7174
新竹縣,2017,9,28.5354
新竹縣,2017,10,25.6213
新竹縣,2017,11,21.7105
新竹縣,2017,12,17.2826
