CityName,YY,MM,TempValue
嘉義縣,2015,1,16.8484
嘉義縣,2015,2,18.0335
嘉義縣,2015,3,21.0751
嘉義縣,2015,4,24.3806
嘉義縣,2015,5,27.4339
嘉義縣,2015,6,30.1131
嘉義縣,2015,7,28.8116
嘉義縣,2015,8,27.9435
嘉義縣,2015,9,27.8516
嘉義縣,2015,10,26.0781
嘉義縣,2015,11,24.327
嘉義縣,2015,12,19.7769
嘉義縣,2016,1,16.4881
嘉義縣,2016,2,16.1711
嘉義縣,2016,3,18.3377
嘉義縣,2016,4,25.0524
嘉義縣,2016,5,27.5457
嘉義縣,2016,6,28.9481
嘉義縣,2016,7,29.2847
嘉義縣,2016,8,28.8601
嘉義縣,2016,9,27.3247
嘉義縣,2016,10,26.9688
嘉義縣,2016,11,23.1631
嘉義縣,2016,12,19.803
嘉義縣,2017,1,18.1935
嘉義縣,2017,2,17.1815
嘉義縣,2017,3,20.1101
嘉義縣,2017,4,23.5579
嘉義縣,2017,5,26.6826
嘉義縣,2017,6,28.862
嘉義縣,2017,7,29.1228
嘉義縣,2017,8,29.3028
嘉義縣,2017,9,29.0717
嘉義縣,2017,10,26.0027
嘉義縣,2017,11,22.6422
嘉義縣,2017,12,18.0453
