CityName,YY,MM,TempValue
彰化縣,2015,1,16.6145
彰化縣,2015,2,17.6396
彰化縣,2015,3,20.5033
彰化縣,2015,4,23.8023
彰化縣,2015,5,26.8607
彰化縣,2015,6,29.7726
彰化縣,2015,7,29.1243
彰化縣,2015,8,28.1979
彰化縣,2015,9,27.5078
彰化縣,2015,10,25.5903
彰化縣,2015,11,23.9378
彰化縣,2015,12,19.259
彰化縣,2016,1,16.2278
彰化縣,2016,2,15.7393
彰化縣,2016,3,17.838
彰化縣,2016,4,24.287
彰化縣,2016,5,27.0747
彰化縣,2016,6,28.6756
彰化縣,2016,7,29.1172
彰化縣,2016,8,28.7834
彰化縣,2016,9,27.2194
彰化縣,2016,10,26.673
彰化縣,2016,11,22.7913
彰化縣,2016,12,19.6594
彰化縣,2017,1,17.9517
彰化縣,2017,2,16.7192
彰化縣,2017,3,19.4186
彰化縣,2017,4,22.9579
彰化縣,2017,5,26.0231
彰化縣,2017,6,28.0005
彰化縣,2017,7,28.9811
彰化縣,2017,8,29.1699
彰化縣,2017,9,28.7426
彰化縣,2017,10,25.766
彰化縣,2017,11,22.3856
彰化縣,2017,12,17.7969
