CityName,YY,MM,TempValue
苗栗縣,2015,1,15.8376
苗栗縣,2015,2,16.4614
苗栗縣,2015,3,18.9597
苗栗縣,2015,4,22.7602
苗栗縣,2015,5,26.0462
苗栗縣,2015,6,29.3042
苗栗縣,2015,7,28.94
苗栗縣,2015,8,28.0455
苗栗縣,2015,9,26.8525
苗栗縣,2015,10,24.9068
苗栗縣,2015,11,23.0433
苗栗縣,2015,12,18.4565
苗栗縣,2016,1,15.8807
苗栗縣,2016,2,15.0736
苗栗縣,2016,3,17.0334
苗栗縣,2016,4,23.7785
苗栗縣,2016,5,26.7551
苗栗縣,2016,6,28.9097
苗栗縣,2016,7,29.7922
苗栗縣,2016,8,28.9326
苗栗縣,2016,9,27.4257
苗栗縣,2016,10,26.5447
苗栗縣,2016,11,22.3869
苗栗縣,2016,12,19.2753
苗栗縣,2017,1,17.5031
苗栗縣,2017,2,16.099
苗栗縣,2017,3,18.3145
苗栗縣,2017,4,22.4349
苗栗縣,2017,5,25.7786
苗栗縣,2017,6,28.0442
苗栗縣,2017,7,29.2511
苗栗縣,2017,8,29.5723
苗栗縣,2017,9,28.7583
苗栗縣,2017,10,25.7557
苗栗縣,2017,11,22.1035
苗栗縣,2017,12,17.5736
