CityName,YY,MM,TempValue
新北市,2015,1,15.4547
新北市,2015,2,15.7462
新北市,2015,3,17.7228
新北市,2015,4,21.7671
新北市,2015,5,25.1348
新北市,2015,6,28.9442
新北市,2015,7,28.9101
新北市,2015,8,27.6468
新北市,2015,9,26.4709
新北市,2015,10,24.3888
新北市,2015,11,22.4868
新北市,2015,12,17.8055
新北市,2016,1,15.0552
新北市,2016,2,14.0508
新北市,2016,3,16.1762
新北市,2016,4,22.842
新北市,2016,5,25.9143
新北市,2016,6,28.2508
新北市,2016,7,29.252
新北市,2016,8,28.7094
新北市,2016,9,26.9633
新北市,2016,10,26.0991
新北市,2016,11,21.49
新北市,2016,12,18.7879
新北市,2017,1,17.0589
新北市,2017,2,15.7244
新北市,2017,3,17.0454
新北市,2017,4,21.4952
新北市,2017,5,24.7026
新北市,2017,6,27.0949
新北市,2017,7,28.8496
新北市,2017,8,29.7047
新北市,2017,9,28.3987
新北市,2017,10,24.4451
新北市,2017,11,20.984
新北市,2017,12,16.2774
