CityName,YY,MM,TempValue
新竹市,2015,1,15.2277
新竹市,2015,2,15.614
新竹市,2015,3,17.9597
新竹市,2015,4,21.7911
新竹市,2015,5,25.2991
新竹市,2015,6,28.7725
新竹市,2015,7,28.6219
新竹市,2015,8,27.5152
新竹市,2015,9,26.2935
新竹市,2015,10,24.4981
新竹市,2015,11,22.4366
新竹市,2015,12,17.8297
新竹市,2016,1,15.1506
新竹市,2016,2,13.9601
新竹市,2016,3,15.9495
新竹市,2016,4,22.7105
新竹市,2016,5,25.7613
新竹市,2016,6,28.4063
新竹市,2016,7,29.0644
新竹市,2016,8,27.9941
新竹市,2016,9,26.8751
新竹市,2016,10,25.9086
新竹市,2016,11,21.592
新竹市,2016,12,18.5413
新竹市,2017,1,17.0812
新竹市,2017,2,15.4139
新竹市,2017,3,16.9981
新竹市,2017,4,21.28
新竹市,2017,5,24.6997
新竹市,2017,6,27.1504
新竹市,2017,7,28.1183
新竹市,2017,8,29.1999
新竹市,2017,9,28.072
新竹市,2017,10,25.1716
新竹市,2017,11,21.3367
新竹市,2017,12,16.8647
