CityName,YY,MM,TempValue
南投縣,2015,1,16.527
南投縣,2015,2,17.623
南投縣,2015,3,20.3993
南投縣,2015,4,24.1745
南投縣,2015,5,26.9566
南投縣,2015,6,29.7365
南投縣,2015,7,28.9292
南投縣,2015,8,27.9537
南投縣,2015,9,27.7375
南投縣,2015,10,26.0548
南投縣,2015,11,24.3793
南投縣,2015,12,19.71
南投縣,2016,1,16.6819
南投縣,2016,2,16.3701
南投縣,2016,3,18.3145
南投縣,2016,4,24.9607
南投縣,2016,5,27.5067
南投縣,2016,6,28.7116
南投縣,2016,7,29.3765
南投縣,2016,8,28.786
南投縣,2016,9,27.5453
南投縣,2016,10,27.144
南投縣,2016,11,23.1897
南投縣,2016,12,19.9696
南投縣,2017,1,18.4296
南投縣,2017,2,17.3704
南投縣,2017,3,19.8223
南投縣,2017,4,23.1782
南投縣,2017,5,26.6412
南投縣,2017,6,28.1152
南投縣,2017,7,28.8037
南投縣,2017,8,29.2011
南投縣,2017,9,28.8926
南投縣,2017,10,25.9541
南投縣,2017,11,22.7922
南投縣,2017,12,17.9722
