CityName,YY,MM,TempValue
臺東縣,2015,1,12.2555
臺東縣,2015,2,13.1608
臺東縣,2015,3,15.4235
臺東縣,2015,4,17.9934
臺東縣,2015,5,20.2984
臺東縣,2015,6,22.8316
臺東縣,2015,7,21.8157
臺東縣,2015,8,21.5442
臺東縣,2015,9,20.6033
臺東縣,2015,10,19.1028
臺東縣,2015,11,18.0391
臺東縣,2015,12,15.2096
臺東縣,2016,1,13.6239
臺東縣,2016,2,12.696
臺東縣,2016,3,14.1253
臺東縣,2016,4,19.1513
臺東縣,2016,5,20.8951
臺東縣,2016,6,22.2317
臺東縣,2016,7,22.4306
臺東縣,2016,8,21.4601
臺東縣,2016,9,20.8127
臺東縣,2016,10,20.4441
臺東縣,2016,11,17.4591
臺東縣,2016,12,15.3953
臺東縣,2017,1,14.071
臺東縣,2017,2,13.121
臺東縣,2017,3,14.8037
臺東縣,2017,4,17.2122
臺東縣,2017,5,19.8749
臺東縣,2017,6,22.0666
臺東縣,2017,7,22.0892
臺東縣,2017,8,22.2485
臺東縣,2017,9,21.8718
臺東縣,2017,10,19.6707
臺東縣,2017,11,17.6968
臺東縣,2017,12,13.72
