CityName,YY,MM,TempValue
嘉義市,2015,1,16.6867
嘉義市,2015,2,17.9309
嘉義市,2015,3,20.8696
嘉義市,2015,4,24.1409
嘉義市,2015,5,27.107
嘉義市,2015,6,29.8284
嘉義市,2015,7,28.8193
嘉義市,2015,8,27.856
嘉義市,2015,9,27.4864
嘉義市,2015,10,25.7512
嘉義市,2015,11,23.9784
嘉義市,2015,12,19.5114
嘉義市,2016,1,16.7172
嘉義市,2016,2,16.4327
嘉義市,2016,3,18.5689
嘉義市,2016,4,25.2529
嘉義市,2016,5,27.6602
嘉義市,2016,6,28.8008
嘉義市,2016,7,29.223
嘉義市,2016,8,28.8014
嘉義市,2016,9,27.3902
嘉義市,2016,10,27.1404
嘉義市,2016,11,23.3708
嘉義市,2016,12,20.1949
嘉義市,2017,1,18.7184
嘉義市,2017,2,17.7028
嘉義市,2017,3,20.5065
嘉義市,2017,4,23.6622
嘉義市,2017,5,26.8712
嘉義市,2017,6,28.5355
嘉義市,2017,7,28.6872
嘉義市,2017,8,29.3984
嘉義市,2017,9,29.2437
嘉義市,2017,10,26.0841
嘉義市,2017,11,23.1184
嘉義市,2017,12,18.4089
