CityName,YY,MM,TempValue
臺南市,2015,1,17.2763
臺南市,2015,2,18.4082
臺南市,2015,3,21.4552
臺南市,2015,4,24.5951
臺南市,2015,5,27.6457
臺南市,2015,6,30.322
臺南市,2015,7,29.0376
臺南市,2015,8,28.1972
臺南市,2015,9,28.1794
臺南市,2015,10,26.4706
臺南市,2015,11,24.7159
臺南市,2015,12,20.2591
臺南市,2016,1,17.1824
臺南市,2016,2,17.0304
臺南市,2016,3,19.2243
臺南市,2016,4,25.8869
臺南市,2016,5,28.1897
臺南市,2016,6,29.4101
臺南市,2016,7,29.8768
臺南市,2016,8,29.2172
臺南市,2016,9,27.8435
臺南市,2016,10,27.6001
臺南市,2016,11,24.0363
臺南市,2016,12,20.5782
臺南市,2017,1,19.0787
臺南市,2017,2,18.1972
臺南市,2017,3,21.1626
臺南市,2017,4,24.39
臺南市,2017,5,27.4841
臺南市,2017,6,29.1438
臺南市,2017,7,29.5743
臺南市,2017,8,29.8296
臺南市,2017,9,29.6799
臺南市,2017,10,26.7551
臺南市,2017,11,23.4313
臺南市,2017,12,18.817
