CityName,YY,MM,TempValue
臺北市,2015,1,16.1942
臺北市,2015,2,16.7272
臺北市,2015,3,18.5581
臺北市,2015,4,22.3768
臺北市,2015,5,25.9627
臺北市,2015,6,29.9145
臺北市,2015,7,29.8926
臺北市,2015,8,28.5969
臺北市,2015,9,27.229
臺北市,2015,10,25.1331
臺北市,2015,11,23.3818
臺北市,2015,12,18.5751
臺北市,2016,1,15.8315
臺北市,2016,2,14.8479
臺北市,2016,3,16.7537
臺北市,2016,4,23.2485
臺北市,2016,5,26.5936
臺北市,2016,6,29.1148
臺北市,2016,7,30.0799
臺北市,2016,8,29.9419
臺北市,2016,9,27.7948
臺北市,2016,10,26.9322
臺北市,2016,11,22.5902
臺北市,2016,12,20.0597
臺北市,2017,1,18.0211
臺北市,2017,2,16.604
臺北市,2017,3,17.8353
臺北市,2017,4,22.2967
臺北市,2017,5,25.6536
臺北市,2017,6,27.9138
臺北市,2017,7,30.1262
臺北市,2017,8,30.8786
臺北市,2017,9,29.1731
臺北市,2017,10,25.2773
臺北市,2017,11,22.115
臺北市,2017,12,17.7427
