CityName,YY,MM,TempValue
高雄市,2015,1,18.2152
高雄市,2015,2,19.2357
高雄市,2015,3,22.0211
高雄市,2015,4,24.9437
高雄市,2015,5,27.5815
高雄市,2015,6,30.0858
高雄市,2015,7,28.9659
高雄市,2015,8,28.1662
高雄市,2015,9,28.2824
高雄市,2015,10,26.9881
高雄市,2015,11,25.1885
高雄市,2015,12,21.0054
高雄市,2016,1,18.0244
高雄市,2016,2,18.0665
高雄市,2016,3,20.3035
高雄市,2016,4,26.4948
高雄市,2016,5,28.5558
高雄市,2016,6,29.5881
高雄市,2016,7,30.0456
高雄市,2016,8,29.2535
高雄市,2016,9,28.2704
高雄市,2016,10,27.9869
高雄市,2016,11,24.711
高雄市,2016,12,21.3951
高雄市,2017,1,19.987
高雄市,2017,2,19.2196
高雄市,2017,3,21.9923
高雄市,2017,4,24.6269
高雄市,2017,5,27.3453
高雄市,2017,6,29.0358
高雄市,2017,7,29.3562
高雄市,2017,8,29.5887
高雄市,2017,9,29.5778
高雄市,2017,10,26.8603
高雄市,2017,11,24.0525
高雄市,2017,12,19.5056
