CityName,YY,MM,TempValue
基隆市,2015,1,15.4093
基隆市,2015,2,16.0339
基隆市,2015,3,17.5989
基隆市,2015,4,21.3878
基隆市,2015,5,25.0363
基隆市,2015,6,28.6594
基隆市,2015,7,28.882
基隆市,2015,8,27.5411
基隆市,2015,9,26.2126
基隆市,2015,10,24.0592
基隆市,2015,11,22.2348
基隆市,2015,12,17.7598
基隆市,2016,1,15.3861
基隆市,2016,2,14.5993
基隆市,2016,3,16.4218
基隆市,2016,4,22.4322
基隆市,2016,5,25.5185
基隆市,2016,6,28.1658
基隆市,2016,7,29.1676
基隆市,2016,8,28.8393
基隆市,2016,9,26.7857
基隆市,2016,10,25.8122
基隆市,2016,11,21.3946
基隆市,2016,12,18.9172
基隆市,2017,1,17.0076
基隆市,2017,2,15.8394
基隆市,2017,3,16.9851
基隆市,2017,4,21.2434
基隆市,2017,5,24.276
基隆市,2017,6,26.951
基隆市,2017,7,29.3167
基隆市,2017,8,29.8349
基隆市,2017,9,28.144
基隆市,2017,10,24.3005
基隆市,2017,11,21.1075
基隆市,2017,12,16.5232
